col1,col2,modifier_indicator
00102,82040,0
00102,82042,0
00102,82043,0
00102,82044,0
00102,82055,0
00102,82075,0
00102,82085,0
00102,82088,0
00102,82101,0
00102,82103,0
00102,82104,0
00102,82105,0
00102,82106,0
00102,82108,0
00102,82128,0
00102,82130,1
00102,82131,0
00102,82135,0
00102,82140,0
00102,82143,0
00102,82145,0
00102,82150,0
00102,82154,0
00102,82157,0
00102,82160,0
00102,82163,0
00102,82164,0
00102,82172,0
00102,82175,0
00102,82180,0
00102,82190,0
00102,82205,1
00102,82232,0
00102,82239,0
00102,82240,0
00102,82250,1
00102,82251,0
00102,82252,0
00102,82270,1
00102,82273,1
00102,90760,0
00102,90765,0
00102,90772,0
00102,90773,0
00102,90774,0
00102,90775,0
00102,90780,1
00102,90781,1
00102,90782,0
00102,90783,0
00102,90784,0
00102,90788,0
00102,90835,1
00102,90865,1
00102,91000,1
00102,91055,1
00102,91105,1
00102,92511,1
00102,92512,1
00102,92516,1
00102,92520,1
00102,92531,0
00102,92533,0
00102,92537,1
00102,92538,1
00102,92543,1
00102,92950,1
00102,92953,1
00102,92960,1
00102,92961,1
00102,93000,1
00102,93005,1
00102,93010,1
00102,93015,1
00102,93016,1
00102,93017,1
00102,93018,1
00102,93040,1
00102,93041,1
00102,93042,1
00102,93050,0
00102,93303,0
00102,93304,0
00102,93306,1
00102,93307,1
00102,93308,1
00102,93312,1
00102,93313,1
00102,93314,1
00102,93315,1
00102,93316,1
00102,93317,1
00102,93318,0
00102,93320,1
00102,93321,1
00102,93325,1
00102,93351,1
00102,93355,0
00102,93451,1
00102,93456,1
00102,93457,1
00102,93501,1
00102,93561,0
00102,93562,0
00102,93598,0
00102,93701,0
00102,93922,1
00102,93923,1
00102,93924,1
00102,93925,1
00102,93926,1
00102,93930,1
00102,93931,1
00102,93965,1
00102,93970,1
00102,93971,1
00102,93975,1
00102,93976,1
00102,93978,1
00102,93979,1
00102,93980,1
00102,93981,1
00102,93985,1
00102,93986,1
00102,94002,1
00102,94004,1
00102,94160,1
00102,94200,1
00102,94250,0
00102,94640,1
00102,94644,1
00102,94650,1
00102,94651,1
00102,94656,1
00102,94660,1
00102,94662,1
00102,94680,1
00102,94681,1
00102,94690,1
00102,94760,0
00102,94761,0
00102,94762,1
00102,94770,1
00102,95700,0
00102,95705,0
00102,95706,0
00102,95707,0
00102,95708,0
00102,95709,0
00102,95710,0
00102,95711,0
00102,95712,0
00102,95713,0
00102,95714,0
00102,95715,0
00102,95716,0
00102,95717,0
00102,95718,0
00102,95719,0
00102,95720,0
00102,95721,0
00102,95722,0
00102,95723,0
00102,95724,0
00102,95725,0
00102,95726,0
00102,95812,0
00102,95813,0
00102,95816,0
00102,95819,0
00102,95822,0
00102,95829,0
00102,95955,0
00102,95956,0
00102,95957,0
00102,96360,0
00102,96365,0
00102,96372,0
00102,96373,0
00102,96374,0
00102,96375,0
00102,96376,0
00102,96377,0
00102,96523,0
00102,99143,0
00102,99144,0
00102,99145,0
00102,99148,0
00102,99149,0
00102,99150,0
00102,99151,0
00102,99152,0
00102,99153,0
00102,99155,0
00102,99156,0
00102,99157,0
00102,99201,0
00102,99201,0
00102,99202,0
00102,99202,0
00102,99203,0
00102,99203,0
00102,99204,0
00102,99204,0
00102,99205,0
00102,99205,0
00102,99211,0
00102,99211,0
00102,99212,0
00102,99212,0
00102,99213,0
00102,99213,0
00102,99214,0
00102,99214,0
00102,99215,0
00102,99215,0
00102,99217,0
00102,99217,0
00102,99218,0
00102,99218,0
00102,99219,0
00102,99219,0
00102,99220,0
00102,99220,0
00102,99221,0
00102,99221,0
00102,99222,0
00102,99222,0
00102,99223,0
00102,99223,0
00102,99224,0
00102,99224,0
00102,99225,0
00102,99225,0
00102,99226,0
00102,99226,0
00102,99231,0
00102,99231,0
00102,99232,0
00102,99232,0
00102,99233,0
00102,99233,0
00102,99234,0
00102,99234,0
00102,99235,0
00102,99235,0
00102,99236,0
00102,99236,0
00102,99238,0
00102,99238,0
00102,99239,0
00102,99239,0
00102,99241,0
00102,99242,0
00102,99243,0
00102,99244,0
00102,99245,0
00102,99251,0
00102,99252,0
00102,99253,0
00102,99254,0
00102,99255,0
00102,99261,0
00102,99262,0
00102,99263,0
00102,99271,0
00102,99272,0
00102,99273,0
00102,99274,0
00102,99275,0
00102,99281,0
00102,99281,0
00102,99282,0
00102,99282,0
00102,99283,0
00102,99283,0
00102,99284,0
00102,99284,0
00102,99285,0
00102,99285,0
00102,99288,0
00102,99293,0
00102,99294,0
00102,99295,0
00102,99296,0
00102,99297,0
00102,99298,0
00102,99299,0
00102,99300,0
00102,99301,0
00102,99302,0
00102,99303,0
00102,99304,0
00102,99304,0
00102,99305,0
00102,99305,0
00102,99306,0
00102,99306,0
00102,99307,0
00102,99307,0
00102,99308,0
00102,99308,0
00102,99309,0
00102,99309,0
00102,99310,0
00102,99310,0
00102,99311,0
00102,99312,0
00102,99313,0
00102,99315,0
00102,99315,0
00102,99318,0
00102,99321,0
00102,99322,0
00102,99323,0
00102,99324,0
00102,99325,0
00102,99326,0
00102,99327,0
00102,99327,0
00102,99328,0
00102,99328,0
00102,99331,0
00102,99332,0
00102,99333,0
00102,99334,0
00102,99334,0
00102,99335,0
00102,99335,0
00102,99336,0
00102,99336,0
00102,99337,0
00102,99337,0
00102,99341,0
00102,99341,0
00102,99342,0
00102,99342,0
00102,99343,0
00102,99343,0
00102,99347,0
00102,99347,0
00102,99348,0
00102,99348,0
00102,99349,0
00102,99349,0
00102,99351,0
00102,99352,0
00102,99353,0
00102,99354,0
00102,99354,0
00102,99355,0
00102,99355,0
00102,99356,0
00102,99356,0
00102,99357,0
00102,99357,0
00102,99358,0
00102,99359,0
00102,99415,0
00102,99416,0
00102,99418,0
00102,99446,0
00102,99447,0
00102,99448,0
